Symbol,Name,Industry,Market Cap,Sector,Country
SGBX,"SG Blocks, Inc.",Machinery,24133866.0,Industrials,United States
SGC,"Superior Group of Companies, Inc.","Textiles, Apparel & Luxury Goods",288005492.0,Consumer Cyclical,United States
SGEN,Seagen Inc.,Biotechnology,25487163375.0,Healthcare,United States
SGFY,"Signify Health, Inc.",Health Information Services,3920223733.0,Healthcare,United States
SGH,"SMART Global Holdings, Inc.",Semiconductors & Semiconductor Equipment,1196340984.0,Technology,United States
SGHC,Super Group (SGHC) Limited,Gambling,2955887867.0,Consumer Cyclical,Guernsey
SGHL,Signal Hill Acquisition Corp.,Blank Check / SPAC,123625000.0,Financial Services,United States
SGHT,"Sight Sciences, Inc.",Medical Devices,386909147.0,Healthcare,United States
SGII,Seaport Global Acquisition II Corp.,Blank Check / SPAC,178070798.0,Financial Services,United States
SGLY,Singularity Future Technology Ltd.,Integrated Freight & Logistics,100889581.0,Industrials,United States
SGMA,"SigmaTron International, Inc.","Electronic Equipment, Instruments & C...",39502286.0,Technology,United States
SGML,Sigma Lithium Corporation,Other Industrial Metals & Mining,1729544960.0,Basic Materials,Brazil
SGMO,"Sangamo Therapeutics, Inc.",Biotechnology,519271997.0,Healthcare,United States
SGRP,"SPAR Group, Inc.",Media,26651388.0,Industrials,United States
SGRY,"Surgery Partners, Inc.",Health Care Providers & Services,3575494130.0,Healthcare,United States
SGTX,"Sigilon Therapeutics, Inc.",Biotechnology,24727145.0,Healthcare,United States
SGU,"Star Group, L.P.",Gas Utilities,356066235.0,Energy,United States
SHAC,SCP & CO Healthcare Acquisition Company,Blank Check / SPAC,281750009.0,Financial Services,United States
SHAK,Shake Shack Inc.,"Hotels, Restaurants & Leisure",1990661352.0,Consumer Cyclical,United States
SHAP,Spree Acquisition Corp. 1 Limited,Blank Check / SPAC,248625000.0,Financial Services,Israel
SHBI,"Shore Bancshares, Inc.",Banks,389525902.0,Financial Services,United States
SHC,Sotera Health Company,Diagnostics & Research,5769466351.0,Healthcare,United States
SHCA,Spindletop Health Acquisition Corp.,Blank Check / SPAC,258170159.0,Financial Services,United States
SHCR,"Sharecare, Inc.",Health Information Services,917707389.0,Healthcare,United States
SHEL,Shell plc,"Oil, Gas & Consumable Fuels",225000000000.0,Energy,United Kingdom
SHEN,Shenandoah Telecommunications Company,Wireless Telecommunication Services,1154798841.0,Communication Services,United States
SHG,"Shinhan Financial Group Co., Ltd.",Banks,18134259691.0,Financial Services,South Korea
SHI,Sinopec Shanghai Petrochemical Company Limited,Chemicals,4416048623.0,Energy,China
SHIP,Seanergy Maritime Holdings Corp.,Marine,213979215.0,Industrials,Greece
SHLS,"Shoals Technologies Group, Inc.",Solar,1669184639.0,Technology,United States
SHLX,"Shell Midstream Partners, L.P.","Oil, Gas & Consumable Fuels",5561120246.0,Energy,United States
SHO,"Sunstone Hotel Investors, Inc.",Equity Real Estate Investment Trusts ...,2550238452.0,Real Estate,United States
SHOO,"Steven Madden, Ltd.","Textiles, Apparel & Luxury Goods",2927836126.0,Consumer Cyclical,United States
SHOP,Shopify Inc.,IT Services,44275805991.0,Technology,Canada
SHPW,"Shapeways Holdings, Inc.",Specialty Industrial Machinery,80764695.0,Industrials,United States
SHQA,Shelter Acquisition Corporation I,Blank Check / SPAC,271933408.0,Financial Services,United States
SHUA,SHUAA Partners Acquisition Corp I,Blank Check / SPAC,125250000.0,Financial Services,Cayman Islands
SHW,The Sherwin-Williams Company,Chemicals,70747832149.0,Basic Materials,United States
SHYF,"The Shyft Group, Inc.",Machinery,771895996.0,Industrials,United States
SI,Silvergate Capital Corporation,Banks,2363677685.0,Financial Services,United States
SIBN,"SI-BONE, Inc.",Health Care Equipment & Supplies,480886325.0,Healthcare,United States
SID,Companhia Siderúrgica Nacional,Metals & Mining,6109141500.0,Basic Materials,Brazil
SIDU,"Sidus Space, Inc.",Aerospace & Defense,26154700.0,Industrials,United States
SIEB,Siebert Financial Corp.,Capital Markets,54113344.0,Financial Services,United States
SIEN,"Sientra, Inc.",Health Care Equipment & Supplies,65771995.0,Healthcare,United States
SIER,Sierra Lake Acquisition Corp.,Blank Check / SPAC,381228730.0,Financial Services,United States
SIF,"SIFCO Industries, Inc.",Aerospace & Defense,26114263.0,Industrials,United States
SIFY,Sify Technologies Limited,Diversified Telecommunication Services,386344543.0,Communication Services,India
SIG,Signet Jewelers Limited,Specialty Retail,2890371051.0,Consumer Cyclical,Bermuda
SIGA,"SIGA Technologies, Inc.",Pharmaceuticals,698000636.0,Healthcare,United States
SIGI,"Selective Insurance Group, Inc.",Insurance,4665317820.0,Financial Services,United States
SII,Sprott Inc.,Capital Markets,915764735.0,Financial Services,Canada
SILC,Silicom Ltd.,Communications Equipment,242754893.0,Technology,Israel
SILK,"Silk Road Medical, Inc",Health Care Equipment & Supplies,1071050169.0,Healthcare,United States
SILV,SilverCrest Metals Inc.,Metals & Mining,1079800703.0,Basic Materials,Canada
SIM,"Grupo Simec, S.A.B. de C.V.",Metals & Mining,4586189820.0,Basic Materials,Mexico
SIMO,Silicon Motion Technology Corporation,Semiconductors & Semiconductor Equipment,3095958220.0,Technology,Hong Kong
SINT,"Sintx Technologies, Inc.",Health Care Equipment & Supplies,11366876.0,Healthcare,United States
SIOX,Sio Gene Therapies Inc.,Biotechnology,21374566.0,Healthcare,United States
SIRE,Sisecam Resources LP,Chemicals,379562166.0,Basic Materials,United States
SIRI,Sirius XM Holdings Inc.,Media,24915640315.0,Communication Services,United States
SISI,"Shineco, Inc.",Personal Products,17673438.0,Healthcare,China
SITC,SITE Centers Corp.,Equity Real Estate Investment Trusts ...,3374259700.0,Real Estate,United States
SITE,"SiteOne Landscape Supply, Inc.",Trading Companies & Distributors,5822517188.0,Industrials,United States
SITM,SiTime Corporation,Semiconductors & Semiconductor Equipment,4195334022.0,Technology,United States
SIVB,SVB Financial Group,Banks,27843090285.0,Financial Services,United States
SIX,Six Flags Entertainment Corporation,"Hotels, Restaurants & Leisure",2575136999.0,Consumer Cyclical,United States
SJ,Scienjoy Holding Corporation,Broadcasting,70181264.0,Communication Services,China
SJI,"South Jersey Industries, Inc.",Gas Utilities,4223041534.0,Utilities,United States
SJM,The J. M. Smucker Company,Food Products,13627748328.0,Consumer Defensive,United States
SJR,Shaw Communications Inc.,Media,14034333667.0,Communication Services,Canada
SJT,San Juan Basin Royalty Trust,"Oil, Gas & Consumable Fuels",599855230.0,Energy,United States
SJW,SJW Group,Water Utilities,1843253616.0,Utilities,United States
SKE,Skeena Resources Limited,Other Industrial Metals & Mining,482449084.0,Basic Materials,Canada
SKIL,Skillsoft Corp.,Education & Training Services,920594623.0,Consumer Defensive,United States
SKIN,The Beauty Health Company,Household & Personal Products,2066671094.0,Consumer Defensive,United States
SKLZ,Skillz Inc.,Entertainment,745337343.0,Communication Services,United States
SKM,"SK Telecom Co.,Ltd",Wireless Telecommunication Services,9938566143.0,Communication Services,South Korea
SKT,"Tanger Factory Outlet Centers, Inc.",Equity Real Estate Investment Trusts ...,1889490290.0,Real Estate,United States
SKX,"Skechers U.S.A., Inc.","Textiles, Apparel & Luxury Goods",5869413863.0,Consumer Cyclical,United States
SKY,Skyline Champion Corporation,Household Durables,2994825675.0,Consumer Cyclical,United States
SKYA,Skydeck Acquisition Corp.,Blank Check / SPAC,268762750.0,Financial Services,United States
SKYH,Sky Harbour Group Corporation,Independent Power and Renewable Elect...,818414079.0,Industrials,United States
SKYT,"SkyWater Technology, Inc.",Semiconductors,243071115.0,Technology,United States
SKYW,"SkyWest, Inc.",Airlines,1268602347.0,Industrials,United States
SKYX,SQL Technologies Corp.,Consumer Electronics,278578174.0,Technology,United States
SLAB,Silicon Laboratories Inc.,Semiconductors & Semiconductor Equipment,5413563289.0,Technology,United States
SLAC,Social Leverage Acquisition Corp I,Blank Check / SPAC,421331259.0,Financial Services,United States
SLAM,Slam Corp.,Blank Check / SPAC,702937500.0,Financial Services,United States
SLB,Schlumberger Limited,Energy Equipment & Services,65994444785.0,Energy,United States
SLCA,"U.S. Silica Holdings, Inc.",Energy Equipment & Services,1343495797.0,Energy,United States
SLCR,Silver Crest Acquisition Corporation,Blank Check / SPAC,423228759.0,Financial Services,Hong Kong
SLDB,Solid Biosciences Inc.,Biotechnology,57883839.0,Healthcare,United States
SLDP,"Solid Power, Inc.",Electrical Equipment & Parts,1524897148.0,Industrials,United States
SLF,Sun Life Financial Inc.,Insurance,28864096235.0,Financial Services,Canada
SLG,SL Green Realty Corp.,Equity Real Estate Investment Trusts ...,4043084781.0,Real Estate,United States
SLGC,"SomaLogic, Inc.",Health Information Services,1017183807.0,Healthcare,United States
SLGG,"Super League Gaming, Inc.",Interactive Media & Services,43190547.0,Communication Services,United States
SLGL,Sol-Gel Technologies Ltd.,Pharmaceuticals,137378543.0,Healthcare,Israel
SLGN,Silgan Holdings Inc.,Containers & Packaging,4839744000.0,Consumer Cyclical,United States
SLHG,Skylight Health Group Inc.,Medical Care Facilities,25681549.0,Healthcare,Canada
SLI,Standard Lithium Ltd.,Other Industrial Metals & Mining,969035771.0,Basic Materials,Canada
SLM,SLM Corporation,Consumer Finance,5128526833.0,Financial Services,United States
SLN,Silence Therapeutics plc,Biotechnology,611946743.0,Healthcare,United Kingdom
SLNG,"Stabilis Solutions, Inc.","Oil, Gas & Consumable Fuels",81162751.0,Energy,United States
SLNH,"Soluna Holdings, Inc.",Scientific & Technical Instruments,103194735.0,Technology,United States
SLNO,"Soleno Therapeutics, Inc.",Biotechnology,19946781.0,Healthcare,United States
SLP,"Simulations Plus, Inc.",Health Care Technology,939202721.0,Healthcare,United States
SLQT,"SelectQuote, Inc.",Insurance Brokers,491561982.0,Financial Services,United States
SLRC,SLR Investment Corp.,Capital Markets,845142776.0,Financial Services,United States
SLRX,"Salarius Pharmaceuticals, Inc.",Biotechnology,10117750.0,Healthcare,United States
SLS,"SELLAS Life Sciences Group, Inc.",Biotechnology,59553240.0,Healthcare,United States
SLVM,Sylvamo Corporation,Paper & Paper Products,2206883285.0,Basic Materials,United States
SLVR,SILVERspac Inc.,Blank Check / SPAC,301562500.0,Financial Services,United States
SM,SM Energy Company,"Oil, Gas & Consumable Fuels",5655708147.0,Energy,United States
SMAP,SportsMap Tech Acquisition Corp.,Blank Check / SPAC,149145500.0,Financial Services,United States
SMAR,Smartsheet Inc.,Software,4521206245.0,Technology,United States
SMBC,"Southern Missouri Bancorp, Inc.",Thrifts & Mortgage Finance,429488191.0,Financial Services,United States
SMBK,"SmartFinancial, Inc.",Banks,430197594.0,Financial Services,United States
SMCI,"Super Micro Computer, Inc.","Technology Hardware, Storage & Periph...",2556933844.0,Technology,United States
SMED,Sharps Compliance Corp.,Health Care Providers & Services,79663405.0,Industrials,United States
SMFG,"Sumitomo Mitsui Financial Group, Inc.",Banks,42941435900.0,Financial Services,Japan
SMFL,"Smart for Life, Inc.",Packaged Foods,14805543.0,Consumer Defensive,United States
SMFR,Sema4 Holdings Corp.,Health Information Services,746953023.0,Healthcare,United States
SMG,The Scotts Miracle-Gro Company,Chemicals,5165895130.0,Basic Materials,United States
SMHI,SEACOR Marine Holdings Inc.,Energy Equipment & Services,237441690.0,Industrials,United States
SMID,Smith-Midland Corporation,Construction Materials,73947378.0,Basic Materials,United States
SMIH,Summit Healthcare Acquisition Corp.,Blank Check / SPAC,250032490.0,Financial Services,Hong Kong
SMIT,"Schmitt Industries, Inc.","Electronic Equipment, Instruments & C...",17139225.0,Technology,United States
SMLP,"Summit Midstream Partners, LP","Oil, Gas & Consumable Fuels",193967260.0,Energy,United States
SMLR,"Semler Scientific, Inc.",Health Care Equipment & Supplies,192914071.0,Healthcare,United States
SMMF,"Summit Financial Group, Inc.",Banks,344624487.0,Financial Services,United States
SMMT,Summit Therapeutics Inc.,Biotechnology,93255527.0,Healthcare,United States
SMP,"Standard Motor Products, Inc.",Auto Components,844832610.0,Consumer Cyclical,United States
SMPL,The Simply Good Foods Company,Food Products,3988703998.0,Consumer Defensive,United States
SMR,NuScale Power Corporation,Industrial and Commercial Fan and Blo...,271975000.0,Utilities,United States
SMRT,"SmartRent, Inc.",Software-Application,1162225405.0,Technology,United States
SMSI,"Smith Micro Software, Inc.",Software,140668447.0,Technology,United States
SMTC,Semtech Corporation,Semiconductors & Semiconductor Equipment,3969220051.0,Technology,United States
SMTI,Sanara MedTech Inc.,Medical Instruments & Supplies,169932869.0,Healthcare,United States
SMTS,Sierra Metals Inc.,Metals & Mining,151804175.0,Basic Materials,Canada
SMWB,Similarweb Ltd.,Internet Content & Information,701927487.0,Communication Services,Israel
SNA,Snap-on Incorporated,Machinery,11703361491.0,Industrials,United States
SNAP,Snap Inc.,Interactive Media & Services,24233900029.0,Communication Services,United States
SNAX,"Stryve Foods, Inc.",Packaged Foods,31435875.0,Consumer Defensive,United States
SNBR,Sleep Number Corporation,Specialty Retail,1054463712.0,Consumer Cyclical,United States
